dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2020-01-01 06:00:00,Kota Adm. Jakarta Barat,0.2,4,0,0,0,10586,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,Kota Adm. Jakarta Utara,0.2,1,0,0,0,1515,0,0,0,0,0,0,0,0,0,0,0
2019-04-26 01:30:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-25 01:30:00,Kota Adm. Jakarta Selatan,0.5,2,0,0,0,2258,0,0,0,0,0,0,0,0,0,0,0
2018-12-08 00:01:00,Kota Adm. Jakarta Utara,1,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
2018-12-03 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0
2018-11-12 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,1499,0,0,0,0,0,0,0,0,0,0,0
2018-11-11 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,2098,0,0,0,0,0,0,0,0,0,0,0
2018-10-29 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 00:01:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 00:01:00,Kota Adm. Jakarta Barat,0.5,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-21 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0
2018-05-03 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
2018-03-04 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0
2018-03-04 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,1000,0,0,0,0,303,303,0,0,0,0,0,0
2018-02-15 00:01:00,Kota Adm. Jakarta Timur,1,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
2018-02-15 00:01:00,Kota Adm. Jakarta Utara,1,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
